AAA,Anaa
JGN,Jiayuguan 
JGO,Qeqertarsuaq
JGP,Greenway Plaza Heliport
JGQ,Transco Twr Galleria
JGR,Heliport
JGS,Ji'An/Jing Gang Shan 
JGX,Heliport
JHB,Senai 
JHC,Island Heliport
JHE,Heliport
JHF,Si£o Paulo Catarina Executive 
JHG,Xishuangbanna Gasa 
JHL,Albian
JHM,Kapalua 
JHS,Sisimiut 
JHW,Jamestown 
JHY,Hyatt Regency Heliport
JIA,Juina
JIB,Djibouti-Ambouli 
JIC,Jinchuan 
JID,City Of Industry Heliport
JIJ,Jigiga 
JIK,Ikaria 
JIL,Jilin
JIM,Jimma 
JIN,Jinja
JIO,International Heliport
JIP,Jipijapa
JIQ,Qianjiang Wulingshan 
JIR,Jiri
JIU,Jiujiang
JIW,Jiwani
JJA,Jajao
JJD,Jericoacoara
JJG,Jaguaruna Regional 
JJI,Juanjui
JJM,Mulika Lodge 
JJN,Quanzhou Jinjiang 
JJU,Heliport
JKG,Axamo 
JKH,Chios 
JKL,Kalymnos Island National 
JKR,Janakpur 
JKT,Jakarta
JKV,Cherokee County
JLA,Quartz Creek
JLB,Long Beach Heliport
JLD,Heliport
JLH,US Army Heliport
JLN,Joplin 
JLR,Jabalpur 
JLS,Jales
JLX,Union Station Heliport
JMA,Marriot Astrodome
JMB,Jamba
JMC,Marin County
JMD,Market Centre Heliport
JMH,Marriott Heliport
JMJ,Lancang Jingmai 
JMK,Mikonos 
JMM,Malmo Harbour Heliport
JMN,Municipal Heliport
JMO,Jomsom
JMS,Jamestown 
JMU,Jiamusi 
JMY,Mammy Yoko Heliport
JNA,Januaria
JNB,Johannesburg 
JNG,Jining 
JNH,North Park Inn Heliport
JNI,Junin
JNJ,Jaaluni
JNN,Nanortalik
JNP,Heliport
JNS,Heliport
JNU,Juneau 
JNX,Naxos 
JNZ,Liaoning Province 
JOC,Centerport Heliport
JOE,Joensuu 
JOG,Adisutjipto 
JOH,Port Saint Johns
JOI,Joinville-Lauro Carneiro de Loyola 
JOJ,Doris Lake Aerodrome
JOK,Yoshkar-Ola 
JOL,Jolo
JOM,Njombe
JON,Johnston Island
JOP,Josephstaal
JOR,The City Heliport
JOS,Jos 
JOT,Municipal
JPA,Presidente Castro Pinto 
JPD,Heliport
JPE,Nagib Demachki 
JPN,Pentagon Army
JPO,Brigadeiro Firmino Ayres 
JPR,Ji-Parana 
JPT,Park Ten Heliport
JPU,La Defense Heliport
JPY,Paraty 
JQA,Qaarsut 
JQE,Jaque 
JRA,West 30th St Heliport
JRC,Municipalcipal Heliport
JRE,East 60th Street Heliport
JRF,Kalaeloa
JRG,Jharsuguda 
JRH,Rowriah 
JRK,Arsuk
JRN,Juruena
JRO,Kilimanjaro 
JRS,Atarot
JRT,Juruti 
JSA,Jaisalmer
JSB,Walfrido Salmito de Almeida 
JSD,Sikorsky Heliport
JSG,San Rafael Heliport
JSH,Sitia 
JSI,Skiathos 
JSJ,Jiansanjiang Shidi 
JSK,Jask 
JSL,Steel Pier Heliport
JSM,Jose De San Martin
JSO,Sodertalje Heliport
JSP,Seogwipo Heliport
JSR,Jessore 
JST,Cambria County 
JSU,Heliport
JSY,Syros Island 
JTA,Pedro Teixeira Castelo 
JTC,Bauru-Arealva 
JTI,Jatai
JTN,Anti´nio Ribeiro Nogueira Jr. State 
JTO,Heliport
JTR,Santorini 
JTY,Astypalaia 
JUA,Juara
JUB,Juba 
JUC,Universal City Heliport
JUH,Chizhou Jiuhuashan 
JUI,Juist
JUJ,El Cadillal 
JUL,Juliaca 
JUM,Jumla
JUN,Jundah
JUO,Jurado
JUP,Cable Heliport
JUR,Jurien Bay
JUT,Juticalpa
JUV,Heliport
JUZ,Quzhou 
JVA,Ankavandra
JVI,Central Jersey Regional 
JVL,Rock County
JWA,Jwaneng
JWH,Westchase Hilton Heliport
JWL,Woodlawns
JWN,Zanjan
JWO,Jungwon Air Base
JXA,Jixi 
JXN,Reynolds Municipal
JYR,Jiroft
JYV,Jyvaskyla 
JZH,Jiuzhai Huanglong 
KAA,Kasama 
KAB,Kariba
KAC,Kameshly 
KAD,Kaduna 
KAE,SPB
KAF,Karato
KAG,Gangneung
KAH,City Heliport
KAI,Kaieteur
KAJ,Kajaani 
KAK,Kar
KAL,Kaltag 
KAM,Kamaran Island
KAN,Mallam Aminu Kano 
KAO,Kuusamo 
KAP,Kapanga
KAQ,Kamulai
KAR,Kamarang
KAS,Karasburg
KAT,Kaitaia
KAU,Kauhava
KAV,Kavanayen
KAW,Kawthaung 
KAX,Kalbarri
KAY,Wakaya Island
KAZ,Kau
KBA,Kabala
KBB,Kirkimbie
KBC,Birch Creek
KBD,Kimberley Downs
KBE,Hot Springs SPB
KBF,Karubaga
KBG,Kabalega Falls
KBH,Kalat
KBI,Kribi
KBJ,Kings Canyon
KBK,Klag Bay
KBL,Kabul 
KBM,Kabwum
KBN,Kabinda
KBO,Kabalo
KBP,Boryspil 
KBQ,Kasungu
KBR,Sultan Ismail Petra 
KBS,Bo
KBT,Kaben
KBU,Gusti Syamsir Alam 
KBV,Krabi 
KBW,Chignik Bay
KBX,Kambuaya
KBY,Streaky Bay
KBZ,Kaikoura
KCA,Kuqa 
KCB,Tepoe Airstrip
KCC,Coffman Cove SPB
KCD,Kamur
KCE,Collinsville
KCF,Kadanwari
KCG,Fisheries
KCH,Kuching 
KCI,Kon
KCJ,Komaio
KCK,Kirensk 
KCL,Lagoon
KCM,Kahramanmaras 
KCN,SPB
KCO,Cengiz Topel 
KCP,Kamenets-podolskiy
KCQ,Chignik
KCR,Colorado Creek
KCS,Kings Creek Station
KCT,Koggala 
KCU,Masindi
KCY,Krasnoyarsk Cheremshanka 
KCZ,Kochi Ryoma 
KDA,Kolda
KDB,Kambalda
KDC,Kandi
KDD,Khuzdar
KDE,Koroba
KDH,Kandahar 
KDI,Haluoleo 
KDJ,Ndjole-Ville
KDK,Municipal
KDL,Kardla 
KDM,Kaadedhdhoo
KDN,Ndende
KDO,Kadhdhoo
KDP,Kandep
KDQ,Kamberatoro
KDR,Kandrian
KDS,Kamaran Downs
KDT,Kamphangsaen
KDU,Skardu 
KDV,Kandavu 
KDW,Vic. Resevour Kandy
KDX,Kadugli
KDY,Mahaweli
KDZ,Polgolla Reservoir 
KEA,Keisah 
KEB,Nanwalek
KEC,Kasenga
KED,Kaedi
KEE,Kelle
KEF,Reykjavik 
KEG,Keglsugl
KEH,Kenmore Air Harbor
KEI,Kepi
KEJ,Kemerovo 
KEK,Ekwok
KEL,Kiel-Holtenau
KEM,Kemi/Tornio 
KEN,Kenema
KEO,Odienne
KEP,Nepalganj 
KEQ,Kebar
KER,Kerman 
KES,Kelsey
KET,Keng Tung 
KEU,Kelly Bar
KEV,Halli
KEW,Keewaywin
KEX,Kanabea
KEY,Kericho
KEZ,Kelaniya River
KFA,Kiffa
KFE,Fortescue Dave Forrest
KFG,Kalkurung
KFM,Kirby Lake Aerodrome
KFP,False Pass
KFS,Kastamonu 
KFZ,Kuki«s 
KGA,Kananga
KGB,Konge
KGC,Kingscote 
KGD,Khrabrovo 
KGE,Kagau
KGF,Karaganda 
KGG,Kedougou
KGH,Yongai
KGI,Kalgoorlie 
KGJ,Karonga
KGK,New Koliganek
KGL,Kigali 
KGM,Kungum
KGN,Kasongo Lunda
KGO,Kirovograd
KGP,Kogalym 
KGR,Kulgera
KGS,Kos 
KGT,Kangding 
KGU,Keningau
KGW,Kagi
KGX,Grayling 
KGY,Kingaroy
KGZ,Glacier Creek
KHA,Khaneh
KHC,Kerch
KHD,Khorramabad
KHE,Kherson 
KHG,Kashi 
KHH,Kaohsiung 
KHI,Jinnah 
KHJ,Kauhajoki
KHK,Khark Island
KHM,Khamti
KHN,Nanchang Changbei 
KHO,Khoka Moya
KHR,Kharkhorin
KHS,Khasab 
KHT,Khost
KHU,Kremenchug
KHV,Khabarovsk 
KHW,Khwai River Lodge
KHX,Savannah Airstrip
KHY,Khoy
KHZ,Kauehi 
KIA,Kaiapit
KIB,SPB
KIC,Mesa Del Rey
KID,Kristianstad 
KIE,Aropa
KIF,Kingfisher Lake
KIG,Koinghaas
KIH,Kish 
KII,Kibuli
KIJ,Niigata 
KIK,Kirkuk
KIL,Kilwa
KIM,Kimberley 
KIN,Norman Manley 
KIO,Kili Island
KIP,Kickapoo
KIQ,Kira
KIR,Kerry County 
KIS,Kisumu 
KIT,Kithira 
KIU,Kiunga
KIW,Southdowns
KIX,Osaka 
KIY,Kilwa Masoko 
KIZ,Kikinonda
KJA,Yemelyanovo 
KJB,Uyyalawada Narasimha Reddy 
KJH,Kaili Huangping 
KJI,Kanasi 
KJJ,Kajjansi Airfield
KJK,Kortrijk
KJP,Kerama
KJT,Kertajati 
KJU,Kamiraba
KJX,Blangpidie 
KKA,Koyuk 
KKB,SPB
KKC,Khon Kaen 
KKD,Kokoda
KKE,Kerikeri 
KKF,Kagvik Creek
KKG,Konawaruk
KKH,Kongiganak 
KKI,Spb
KKJ,Kitakyushu 
KKK,Kalakaket AFS
KKL,Karluk Lake SPB
KKM,Lop Buri
KKN,Kirkenes  Hoeybuktmoen
KKO,Kaikohe
KKP,Koolburra
KKQ,Krasnoselkup
KKR,Kaukura Atoll 
KKS,Kashan 
KKT,Kentland
KKU,Ekuk
KKW,Kikwit
KKX,Kikaiga Shima
KKY,Kilkenny
KKZ,Koh Kong
KLB,Kalabo 
KLC,Kaolack
KLD,Migalovo
KLE,Kaele
KLF,Grabtsevo 
KLG,Kalskag Municipal 
KLH,Kolhapur
KLI,Kota Koli
KLJ,Klaipeda
KLK,Kalokol
KLL,Levelock
KLM,Kalaleh
KLN,Larsen SPB
KLO,Kalibo 
KLP,Kelp Bay
KLQ,Keluang
KLR,Kalmar Oland 
KLS,Longview
KLT,Kaiserslautern
KLU,Klagenfurt 
KLV,Karlovy Vary 
KLW,Klawock 
KLX,Kalamata 
KLY,Kalima
KLZ,Kleinzee
KMA,Kerema
KMB,Koinambe
KMC,King Khalid Military
KME,Kamembe
KMF,Kamina
KMG,Kunming Changshui 
KMH,Kuruman
KMI,Miyazaki 
KMJ,Kumamoto 
KMK,Makabana
KML,Kamileroi
KMM,Kimam
KMN,Kamina
KMO,Manokotak SPB
KMP,J.G.H. Van Der Wath
KMQ,Komatsu 
KMR,Karimui
KMS,Kumasi 
KMT,Kampot
KMU,Kismayu
KMV,Kalemyo 
KMW,Sokerkino
KMX,Khamis Mushait
KMY,Moser Bay
KMZ,Kaoma
KNA,Vina del Mar
KNB,Kanab
KND,Kindu
KNE,Kanainj
KNF,Marham RAF
KNG,Kaimana 
KNH,Kinmen 
KNI,Katanning
KNJ,Kindamba
KNK,Kokhanok 
KNL,Kelanoa
KNM,Kaniama
KNN,Kankan
KNO,Kuala Namu 
KNP,Capanda
KNQ,Kone
KNR,Jam
KNS,King Island 
KNT,Municipal
KNU,Kanpur 
KNV,Knights Inlet
KNW,New Stuyahok
KNX,Kununurra 
KNY,Kodinsk 
KNZ,Kenieba
KOA,Kona  at Keahole
KOC,Koumac
KOD,Kotabangun
KOE,El Tari 
KOF,Komatipoort
KOG,Khong
KOH,Koolatah
KOI,Kirkwall 
KOJ,Kagoshima 
KOK,Kruunupyy 
KOL,Koumala
KOM,Komo-Manda
KON,Kontum
KOO,Kongolo
KOP,Nakhon Phanom 
KOQ,Koethen
KOR,Kokoro
KOS,Sihanouk 
KOT,Kotlik 
KOU,Koulamoutou
KOV,Kokshetau 
KOW,Ganzhou 
KOX,Kokonao
KOY,Olga Bay SPB
KOZ,Ouzinkie SPB
KPA,Kopiago
KPB,Point Baker SPB
KPC,Port Clarence
KPD,King Of Prussia
KPE,Yapsiei
KPF,Kondubol
KPG,Kurupung
KPH,Pauloff Harbor SPB
KPI,Kapit
KPK,Parks SPB
KPL,Kapal
KPM,Kompiam
KPN,Kipnuk SPB
KPO,Pohang 
KPP,Kalpowar
KPR,Port Williams SPB
KPS,Kempsey
KPT,Jackpot
KPV,Perryville SPB
KPW,Keperveyem 
KPY,Port Bailey SPB
KQA,Akutan
KQH,Kishangarh 
KQL,Kol
KQR,Karara 
KQT,Qurghonteppa 
KRA,Kerang
KRB,Karumba 
KRC,Kerinci
KRD,Kurundi
KRE,Kirundo
KRF,Kramfors 
KRG,Karasabai
KRI,Kikori
KRJ,Karawari
KRK,Cracovie
KRL,Korla 
KRM,Karanambo
KRN,Kiruna 
KRO,Kurgan 
KRP,Karup 
KRQ,Kramatorsk
KRR,Krasnodar 
KRS,Kristiansand 
KRT,Khartoum 
KRU,Kerau
KRV,Kerio Valley
KRW,Turkmanbashi 
KRX,Kar Kar
KRY,Karamay 
KRZ,Kiri
KSA,Kosrae 
KSB,Kasanombe
KSC,Barca 
KSD,Karlstad 
KSE,Kasese 
KSF,Kassel-Calden 
KSG,Kisengan
KSH,Kermanshah 
KSI,Kissidougou
KSJ,Kasos Island 
KSK,Karlskoga
KSL,Kassala 
KSM,Saint Mary's 
KSN,Kostanay 
KSO,Aristoteles 
KSP,Kosipe
KSQ,Karshi 
KSR,Federal No 1
KSS,Sikasso
KST,Kosti
KSU,Kristiansund  Kvernberget
KSV,Springvale
KSW,Kiryat Shmona
KSX,Yasuru
KSY,Kars 
KSZ,Kotlas 
KTA,Karratha 
KTB,Thorne Bay
KTC,Katiola
KTD,Kitadaito
KTE,Kerteh 
KTF,Takaka
KTG,Ketapang 
KTH,SPB
KTI,Kratie
KTJ,Kichwa Tembo 
KTK,Kanua
KTL,Kitale 
KTM,Katmandou 
KTN,Ketchikan 
KTO,Kato
KTP,Tinson
KTQ,Kitee
KTR,Tindal
KTS,Brevig Mission 
KTT,Kittila 
KTU,Kota
KTV,Kamarata
KTW,Katowice 
KTX,Koutiala
KTY,Katukurunda Slaf Base
KUA,Sultan Haji Ahmad Shah 
KUC,Kuria
KUD,Kudat 
KUE,Kukundu
KUF,Kurumoch 
KUG,Kubin Island
KUH,Kushiro 
KUI,Kawau Island
KUJ,Kushimoto
KUK,Kasigluk 
KUL,Kuala Lumpur 
KUM,Yakushima 
KUN,Kaunas 
KUO,Kuopio 
KUP,Kupiano
KUQ,Kuri
KUR,Kuran-O-Munjan
KUS,Kulusuk 
KUT,Kutaisi 
KUU,Bhuntar 
KUV,Gunsan 
KUW,Kugururok River
KUX,Kuyol
KUY,Kamusi 
KUZ,Gunsan Airbase
KVA,Kavala 
KVB,Skovde
KVC,King Cove
KVE,Kitava
KVG,Kavieng 
KVK,Kirovsk 
KVL,Kivalina 
KVM,Markovo 
KVO,Morava 
KVR,Kavalerovo
KVU,Korolevu
KVX,Kirov 
KWA,Kwajalein 
KWB,Karimunjawa
KWD,Kawadjia
KWE,Guiyang Longdongbao 
KWF,Waterfall SPB
KWG,Krivoy Rog
KWH,Khwahan
KWI,Kuwait 
KWJ,Gwangju 
KWK,Kwigillingok 
KWL,Guilin Liangjiang 
KWM,Kowanyama
KWN,Kwinhagak 
KWO,Kawito
KWP,Village SPB
KWR,Kwai Harbour
KWS,Kwailabesi Aerodrom
KWT,Kwethluk 
KWU,Mansion House
KWV,Kurwina
KWX,Kiwai Island
KWY,Kiwayu
KWZ,Kolwezi
KXA,Kasaan SPB
KXB,Sangia Nibandera 
KXD,Kondinskoye 
KXE,Klerksdorp
KXF,Koro Island
KXK,Khurba 
KXO,Kisoro 
KXR,Karoola
KXU,Katiu
KYA,Konya 
KYB,Ken's Bore
KYD,Orchid Island
KYE,Kleyate
KYF,Yeelirrie
KYI,Yalata Mission
KYK,Karluk
KYL,Port Largo
KYN,Milton Keynes
KYO,Topp Of Tampa
KYP,Kyaukpyu 
KYS,Kayes
KYT,Kyauktaw
KYU,Koyukuk 
KYX,Yalumet
KYZ,Kyzyl 
KZB,Zachar Bay SPB
KZC,Kompong-Chhna
KZD,Krakor
KZF,Kaintiba
KZG,Kitzingen
KZH,Kizhuyak
KZI,Philippos 
KZN,Kazan 
KZO,Kzyl-Orda 
KZR,Zafer 
KZS,Kastellorizo 
LAA,Lamar Field
LAB,Lablab
LAC,Layang-Layang Airstrip
LAD,Quatro de Fevereiro 
LAE,Nadzab 
LAF,Purdue University
LAG,La Guaira
LAH,Labuha
LAI,Servel 
LAJ,Correia Pinto 
LAK,Aklavik
LAL,Municipal
LAM,Los Alamos
LAN,Capital Region 
LAO,Laoag 
LAP,Leon 
LAQ,La Braq 
LAR,General Brees Field
LAS,McCarran 
LAT,La Uribe
LAU,Lamu
LAV,Lalomalava
LAW,Lawton-Fort Sill Regional 
LAX,Los Angeles 
LAY,Ladysmith
LAZ,Bom Jesus Da Lapa
LBA,Leeds Bradford 
LBB,Lubbock Preston Smith 
LBC,Lubeck Blankensee
LBD,Khujand 
LBE,Westmoreland County 
LBF,Lee Bird Field
LBG,Le Bourget
LBH,Palm Beach SPB
LBI,Le Sequestre
LBJ,Komodo 
LBK,Liboi
LBL,Liberal Municipal 
LBM,Luabo
LBN,Lake Baringo
LBO,Lusambo
LBP,Long Banga Airfield
LBQ,Lambarene
LBR,Labrea
LBS,Labasa 
LBT,Lumberton
LBU,Labuan 
LBV,Libreville 
LBW,Long Bawan
LBX,Lubang
LBY,Montoir
LBZ,Lukapa
LCA,Larnaca 
LCB,Pontes e Lacerda
LCC,Galatina
LCD,Louis Trichardt
LCE,Goloson 
LCF,Las Vegas
LCG,A Coruna 
LCH,Lake Charles Regional 
LCI,Municipal
LCJ,Lodz Lublinek 
LCK,Rickenbacker 
LCL,La Coloma
LCM,La Cumbre
LCN,Balcanoona
LCO,Lague
LCP,Loncopue
LCQ,Lake City
LCR,La Chorrera
LCS,Las Canas
LCT,Shijiazhuang Luancheng 
LCV,Lucca
LCX,Liancheng 
LCY,London City 
LDA,Malda
LDB,Londrina 
LDC,Lindeman Island
LDE,Tarbes Ossun Lourdes 
LDG,Leshukonskoye
LDH,Lord Howe Island 
LDI,Kikwetu
LDJ,Linden
LDK,Hovby
LDM,Mason County
LDN,Lamidanda
LDO,Ladouanie
LDR,Lodar
LDS,Yichun Shi 
LDU,Lahad Datu 
LDV,Landivisiau
LDW,Lansdowne
LDX,St-Laurent du Maroni
LDY,City of Derry 
LDZ,Londolozi 
LEA,Learmonth 
LEB,Lebanon Regional 
LEC,Coronel Horacio de Mattos 
LED,Pulkovo 
LEE,Leesburg
LEF,Lebakeng
LEG,Aleg
LEH,Octeville
LEI,Almeria 
LEJ,Leipzig/Halle 
LEK,Labe
LEL,Lake Evella
LEM,Lemmon
LEN,Leon 
LEO,Leconi
LEP,Leopoldina
LEQ,Lands End
LER,Leinster
LES,Lesobeng
LET,Gen. A.V. Cobo 
LEU,Seo de Urgel
LEV,Levuka Airfield
LEW,Auburn
LEX,Blue Grass 
LEY,Lelystad
LEZ,La Esperanza
LFB,Lumbo
LFH,Lanping Feng Hua 
LFI,Langley AFB
LFK,Lufkin Angelina County
LFM,Lamerd 
LFN,Franklin
LFO,Kelafo
LFP,Lakefield
LFQ,Linfen Qiaoli 
LFR,La Fria 
LFT,Lafayette Regional 
LFW,Lome 
LGA,New York
LGB,Long Beach 
LGC,Calloway
LGD,La Grande
LGE,Lake Gregory
LGF,Laguna AAF
LGG,Liege 
LGH,Leigh Creek
LGI,Deadmans Cay 
LGK,Langkawi 
LGL,Long Lellang
LGM,Laiagam
LGN,Linga Linga
LGO,Langeoog
LGP,Legaspi 
LGQ,Lago Agrio 
LGR,Cochrane
LGS,Malargue
LGT,Las Gaviotas
LGU,Cache
LGW,Londres 
LGX,Lugh Ganane
LGY,Lagunillas
LGZ,Shannan Longzi 
LHA,Black Forest
LHB,Lost Harbor Sea Port
LHE,Allama Iqbal 
LHG,Lightning Ridge
LHI,Lereh
LHK,Guanghua
LHN,Lishan
LHP,Lehu
LHR,Londres 
LHS,Las Heras
LHU,Lianshulu
LHV,W T Piper Memorial
LHW,Lanzhou Zhongchuan 
LIA,Liangping
LIB,Limbunya
LIC,Municipal
LIE,Libenge
LIF,Lifou 
LIG,Bellegarde 
LIH,Lihue 
LII,Mulia
LIJ,Long Island
LIK,Likiep Island
LIL,Lille 
LIM,Lima 
LIN,Milan 
LIO,Limon 
LIP,Lins
LIQ,Lisala
LIR,Liberia 
LIS,Lisbonne 
LIT,Bill and Hillary Clinton National 
LIV,Livengood
LIW,Loikaw 
LIX,Likoma
LIY,Wright AAF
LIZ,Loring AFB
LJA,Lodja
LJC,Intercontinental
LJG,Lijiang 
LJN,Brazoria County
LJU,Ljubljana 
LKA,Gewayenta 
LKB,Lakeba 
LKC,Lekana
LKD,Lakeland Downs
LKE,Kenmore Air Harbor SPB
LKG,Lokichoggio
LKH,Long Akah
LKI,Lakeside USAF
LKK,Kulik Lake
LKL,Banak 
LKN,Leknes 
LKO,Chaudhary Charan Singh 
LKP,Lake Placid
LKR,Las Khoreh
LKS,Lakeside
LKU,Lake Rudolf
LKV,Lake County
LKW,Lekhwair
LKY,Lake Manyara 
LKZ,RAF Lakenheath
LLA,Lulea 
LLB,Libo County Libo City 
LLC,Cagayan North 
LLE,Malelane
LLF,Lingling 
LLG,Chillagoe
LLH,Las Limas
LLI,Lalibela 
LLJ,Silampari 
LLK,Lankaran 
LLL,Lissadell
LLM,Long Lama
LLN,Kelila
LLO,Bua 
LLP,Linda Downs
LLS,Las Lomitas
LLT,Lobito
LLU,Alluitsup Paa
LLV,Li¼liang 
LLW,Lilongwe 
LLX,Lyndonville
LLY,Burlington County
LMA,Lake Minchumina
LMB,Salima
LMC,Lamacarena
LMD,Los Menucos
LME,Arnage
LMG,Lamassa
LMH,Limon
LMI,Lumi
LML,Lae Island
LMM,Federal 
LMN,Limbang 
LMO,Lossiemouth RAF Station
LMP,Lampedusa 
LMQ,Marsa Brega
LMR,Lime Acres
LMS,Winston County
LMT,Crater Lake Klamath Regional 
LMU,Letung 
LMV,Madivaru 
LMX,Lopez De Micay
LMY,Lake Murray
LMZ,Palma
LNA,Palm Beach County Park
LNB,Lamen Bay
LNC,Lengbati
LND,Hunt Field
LNE,Lonorore
LNF,Munbil
LNG,Lese
LNH,Lake Nash
LNI,Dew Station
LNJ,Lincang 
LNK,Lincoln 
LNL,Longnan Chengzhou 
LNM,Langimar
LNN,Lost Nation
LNO,Leonora
LNP,Wise
LNQ,Loani
LNR,Tri County
LNS,Lancaster 
LNU,Robert Atty Bessing 
LNV,Lihir Island
LNX,Smolensk
LNY,Lanai 
LNZ,Linz 
LOA,Lorraine
LOB,Los Andes
LOC,Lock
LOD,Longana
LOE,Loei 
LOF,Loen
LOG,Longview
LOH,Ciudad de Catamayo 
LOI,Helmuth Baungartem
LOK,Lodwar 
LOL,Derby Field
LOM,Francisco P. V. Y R.
LOO,L'Mekrareg 
LOP,Lombok 
LOQ,Lobatse
LOR,Lowe Army Heliport
LOS,Murtala Muhammed 
LOT,Lewis Lockport
LOU,Bowman Field 
LOV,Monclova
LOW,Louisa
LOX,Los Tablones 
LOY,Loyangalani
LOZ,Corbin-london
LPA,Gran Canaria 
LPB,La Paz 
LPC,Lompoc 
LPD,La Pedrera
LPE,La Primavera
LPF,Liupanshui Yuezhao 
LPG,La Plata
LPI,Linkoping City 
LPJ,Pijiguaos
LPK,Lipetsk 
LPL,Liverpool John Lennon 
LPM,Lamap
LPN,Leron Plains
LPO,Municipal
LPP,Lappeenranta
LPQ,Luang Prabang 
LPS,Lopez Island
LPT,Lampang 
LPU,Long Apung
LPW,Little Port Walter
LPX,Liepaya 
LPY,Loudes 
LQK,Pickens
LQM,Puerto Leguizamo
LQN,Qala Nau
LRA,Larisa
LRB,Leribe
LRD,Laredo 
LRE,Longreach 
LRF,Little Rock AFB
LRG,Lora Lai
LRH,Laleu 
LRI,Lorica
LRJ,Municipal
LRK,Coast Guard
LRL,Niamtougou
LRM,La Romana 
LRN,Larson AFB
LRO,Sharpe AAF
LRQ,Laurie River
LRR,Lar 
LRS,Leros 
LRT,Lann Bihoue 
LRU,Municipal
LRV,Los Roques
LSA,Losuia
LSB,Lordsburg
LSC,La Florida 
LSD,Blue Grass Station Army Heliport
LSE,La Crosse Regional 
LSF,Lawson AAF
LSH,Lashio
LSI,Sumburgh 
LSJ,Long Island
LSK,Lusk
LSL,Los Chiles
LSM,Lawas
LSN,Los Banos
LSO,Talmont
LSP,Josefa Camejo 
LSQ,Los Angeles
LSR,Lost River
LSS,Terre-de-Haut
LST,Launceston 
LSU,Long Sukang
LSV,Nellis AFB
LSW,Malikus Saleh 
LSX,Lhok Sukon
LSY,Lismore 
LSZ,Losinj 
LTA,Letaba
LTB,Latrobe
LTC,Lai
LTD,Ghadames
LTF,Leitre
LTG,Langtang
LTH,Lathrop Wells
LTI,Altai
LTK,Latakia
LTL,Lastourville
LTM,Lethem
LTN,London Luton 
LTO,Loreto 
LTP,Lyndhurst
LTQ,Le Touquet
LTR,Letterkenny
LTS,Altus Air Force Base
LTT,La Mole
LTU,Latur
LTV,Lotusvale
LTW,St Marys County
LTX,Cotapaxi 
LUA,Lukla
LUB,Lumid Pau
LUC,Laucala Island
LUD,Luderitz 
LUE,Lucenec
LUF,Luke AFB
LUG,Lugano 
LUH,Ludhiana Sahnewal 
LUI,La Union
LUK,Cincinnati Municipal Lunken 
LUL,Hesler-Noble Field
LUM,Dehong Mangshi 
LUN,Kenneth Kaunda 
LUO,Luena
LUP,Kalaupapa
LUQ,San Luis 
LUR,Cape Lisburne
LUS,Lusanga
LUT,Laura Station
LUU,Laura
LUV,Langgur 
LUW,Bubung 
LUX,Luxembourg 
LUZ,Lublin 
LVA,Entrammes
LVB,Dos Galpoes
LVD,Lime Village
LVI,Livingstone 
LVK,Livermore
LVL,Lawrenceville
LVM,Mission Field
LVO,Laverton
LVP,Lavan
LVR,Mun. Do Bom Futuro
LVS,Las Vegas
LWA,Lwbak
LWB,Greenbrier Valley 
LWC,Lawrence
LWE,Lewoleba
LWH,Lawn Hill
LWI,Lowai
LWK,Lerwick/Tingwall
LWL,Harriet Field
LWM,Lawrence
LWN,Leninakan 
LWO,Lviv 
LWR,Leeuwarden
LWS,Lewiston-Nez Perce County Regional 
LWT,Municipal
LWV,Municipal
LWY,Lawas 
LXA,Lhasa Gonggar 
LXG,Luang Namtha 
LXN,Lexington
LXR,Louxor 
LXS,Limnos 
LXU,Lukulu
LXV,Leadville
LYA,Luoyang Beijiao 
LYB,Little Cayman 
LYC,Lycksele 
LYE,Lyneham RAF Station
LYG,Lianyungang 
LYH,Preston-Glenn Field
LYI,Linyi 
LYK,Lunyuk
LYN,Bron
LYO,Lyons-Rice County Municipal
LYP,Faisalabad 
LYR,Svalbard 
LYS,Lyon 
LYT,Lady Elliot Island
LYU,Ely
LYX,London Ashford (Ferryfield)
LZA,Luiza
LZC,Lazaro Cardenas 
LZG,Langzhong 
LZH,Liuzhou 
LZI,Luozi
LZM,Luzamba
LZN,Matsu Nangan 
LZO,Luzhou Lantian 
LZR,Lizard Island
LZU,Gwinnett County 
LZY,Nyingchi Mainling 
MAA,Chennai 
MAB,Maraba 
MAC,Smart
MAD,Madrid 
MAE,Madera
MAF,Midland 
MAG,Madang 
MAH,Menorca 
MAI,Mangochi
MAJ,Amata Kabua 
MAK,Malakal
MAL,Mangole
MAM,Matamoros 
MAN,Manchester 
MAO,Eduardo Gomes 
MAP,Mamai
MAQ,Mae Sot 
MAR,La Chinita 
MAS,Momote 
MAT,Matadi
MAU,Maupiti
MAV,Maloelap Island
MAW,Malden
MAX,Matam
MAY,Mangrove Cay
MAZ,Eugenio M. De Hostos 
MBA,Moi 
MBB,Marble Bar
MBC,Mbigou
MBD,Mmabatho 
MBE,Monbetsu 
MBF,Mount Buffalo
MBG,Mobridge
MBH,Maryborough
MBI,Mbeya 
MBJ,Sangster 
MBK,Matupa
MBL,Blacker 
MBM,Mkambati
MBN,Mt Barnett
MBO,Mamburao
MBP,Moyobamba
MBQ,Mbarara
